program,title,link,upvotes,bounty,vuln_type,date
Mavenlink,Non Validation of session after password reset,hackerone.com/reports/15852,5,0.0,Violation of Secure Design Principles,2014-07-22
Localize,PHP PDOException and Full Path Disclosure,hackerone.com/reports/15899,3,0.0,Information Disclosure,2014-07-07
Phabricator,Abusing VCS control on phabricator,hackerone.com/reports/16315,1,600.0,Privilege Escalation,2014-06-13
Internet Bug Bounty,Multiple issues in looking-glass software (aka from web to BGP injections),hackerone.com/reports/16330,2,0.0,Cross-site Scripting (XSS) - Generic,2014-09-17
Phabricator,Abusing daemon logs for Privilege escalation under certain scenarios,hackerone.com/reports/16392,2,300.0,Privilege Escalation,2014-06-18
Automattic,User Enumeration and Guessable User Account Attack on WORDPRESS,hackerone.com/reports/16439,2,0.0,,2014-09-13
RelateIQ,Failed Certificate Validation On Custom Server (Register),hackerone.com/reports/16568,3,0.0,Cryptographic Issues - Generic,2014-08-25
RelateIQ,SSRF (Portscan) via Register Function (Custom Server),hackerone.com/reports/16571,3,0.0,Violation of Secure Design Principles,2014-07-26
Coinbase,2FA settings allowed to be changed with no delay/freeze on funds,hackerone.com/reports/16696,5,0.0,Violation of Secure Design Principles,2014-08-25
Slack,Open Redirect login account,hackerone.com/reports/16718,7,100.0,Open Redirect,2014-08-25
Internet Bug Bounty,Cross-site information assertion leak via Content Security Policy,hackerone.com/reports/16910,13,0.0,Information Disclosure,2018-09-05
HackerOne,Cache leads to Privacy leaks,hackerone.com/reports/17105,4,0.0,Improper Authentication - Generic,2014-07-17
Slack,Password Policy issue (Weak Protect),hackerone.com/reports/17160,5,0.0,Violation of Secure Design Principles,2014-09-04
Uzbey,"SQL injection, tile ID",hackerone.com/reports/17225,2,0.0,Command Injection - Generic,2014-08-07
Uzbey,"SQL injection, time zoom script, tile ID",hackerone.com/reports/17227,2,0.0,SQL Injection,2014-07-18
Uzbey,Album image XSS,hackerone.com/reports/17235,2,0.0,Cross-site Scripting (XSS) - Generic,2014-07-18
Uzbey,Missing HSTS (Strict Transport Security),hackerone.com/reports/17239,2,0.0,Violation of Secure Design Principles,2014-08-29
Uzbey,Cross-site scripting  vulnerability detected,hackerone.com/reports/17241,1,0.0,Uncontrolled Resource Consumption,2014-07-08
Uzbey,All Active user sessions should be destroyed when user change his password!,hackerone.com/reports/17252,3,0.0,Improper Authentication - Generic,2014-07-30
Uzbey,Language version disclosure in response header ,hackerone.com/reports/17256,2,0.0,Violation of Secure Design Principles,2014-07-23
Uzbey,email field doesn't filtered against XSS,hackerone.com/reports/17287,2,0.0,Cross-site Scripting (XSS) - Generic,2014-07-08
Uzbey,CMS Information Disclosure,hackerone.com/reports/17297,3,0.0,Information Disclosure,2014-08-07
Uzbey,Cross site scripting in type parameter,hackerone.com/reports/17299,2,0.0,Cross-site Scripting (XSS) - Generic,2014-08-07
Uzbey,Breach Attack Vulnerability,hackerone.com/reports/17311,1,0.0,Information Disclosure,2014-07-23
Uzbey,HTML Form Without CSRF Protection Vulnerability,hackerone.com/reports/17312,3,0.0,Cross-Site Request Forgery (CSRF),2014-07-23
Uzbey,Clickjacking at https://staging.uzbey.com/,hackerone.com/reports/17315,1,0.0,UI Redressing (Clickjacking),2014-08-07
Uzbey,Email Flooding Vuln,hackerone.com/reports/17321,3,0.0,Violation of Secure Design Principles,2014-08-07
HackerOne,Category- Broken Authentication and Session Management (leads to account compromise if some conditions are met),hackerone.com/reports/17383,15,0.0,Improper Authentication - Generic,2014-07-26
Uzbey,Flash Content-Type Sniffing Vulnerability ,hackerone.com/reports/17390,1,0.0,,2014-07-23
Phabricator,Broken Authentication and Session Management,hackerone.com/reports/17474,26,0.0,Improper Authentication - Generic,2014-08-05
